#	Name:   Map from Robotron Z9001 character set to Unicode
#	Date:   2021 November 21
#	Author: Rebecca Bettencourt <support@kreativekorp.com>

0x20	0x0020	# SPACE
0x55	0x0055	# LATIN CAPITAL LETTER U
0x56	0x0056	# LATIN CAPITAL LETTER V
0x57	0x0057	# LATIN CAPITAL LETTER W
0x58	0x0058	# LATIN CAPITAL LETTER X
0x59	0x0059	# LATIN CAPITAL LETTER Y
0x5A	0x005A	# LATIN CAPITAL LETTER Z
0x5B	0x005B	# LEFT SQUARE BRACKET
0x5C	0x005C	# REVERSE SOLIDUS
0x5D	0x005D	# RIGHT SQUARE BRACKET
0x5E	0x005E	# CIRCUMFLEX ACCENT
0x5F	0x005F	# LOW LINE
0x60	0x0060	# GRAVE ACCENT
0x61	0x0061	# LATIN SMALL LETTER A
0x62	0x0062	# LATIN SMALL LETTER B
0x63	0x0063	# LATIN SMALL LETTER C
0x64	0x0064	# LATIN SMALL LETTER D
0x65	0x0065	# LATIN SMALL LETTER E
0x66	0x0066	# LATIN SMALL LETTER F
0x67	0x0067	# LATIN SMALL LETTER G
0x68	0x0068	# LATIN SMALL LETTER H
0x69	0x0069	# LATIN SMALL LETTER I
0x6A	0x006A	# LATIN SMALL LETTER J
0x6B	0x006B	# LATIN SMALL LETTER K
0x6C	0x006C	# LATIN SMALL LETTER L
0x6D	0x006D	# LATIN SMALL LETTER M
0x6E	0x006E	# LATIN SMALL LETTER N
0x6F	0x006F	# LATIN SMALL LETTER O
0x70	0x0070	# LATIN SMALL LETTER P
0x71	0x0071	# LATIN SMALL LETTER Q
0x72	0x0072	# LATIN SMALL LETTER R
0x73	0x0073	# LATIN SMALL LETTER S
0x74	0x0074	# LATIN SMALL LETTER T
0x75	0x0075	# LATIN SMALL LETTER U
0x76	0x0076	# LATIN SMALL LETTER V
0x77	0x0077	# LATIN SMALL LETTER W
0x78	0x0078	# LATIN SMALL LETTER X
0x79	0x0079	# LATIN SMALL LETTER Y
0x7A	0x007A	# LATIN SMALL LETTER Z
0x7B	0x007B	# LEFT CURLY BRACKET
0x7C	0x007C	# VERTICAL LINE
0x7D	0x007D	# RIGHT CURLY BRACKET
0x7E	0x007E	# TILDE
0x7F	0x2588	# FULL BLOCK
0x80	0x1FBE3	# LEFT JUSTIFIED RIGHT HALF WHITE CIRCLE
0x81	0x1FBE1	# RIGHT JUSTIFIED LEFT HALF WHITE CIRCLE
0x82	0x1FBE0	# TOP JUSTIFIED LOWER HALF WHITE CIRCLE
0x83	0x1FBE2	# BOTTOM JUSTIFIED UPPER HALF WHITE CIRCLE
0x84	0x256F	# BOX DRAWINGS LIGHT ARC UP AND LEFT
0x85	0x2570	# BOX DRAWINGS LIGHT ARC UP AND RIGHT
0x86	0x256D	# BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
0x87	0x256E	# BOX DRAWINGS LIGHT ARC DOWN AND LEFT
0x88	0x1FB7C	# LEFT AND LOWER ONE EIGHTH BLOCK
0x89	0x1FB7E	# RIGHT AND UPPER ONE EIGHTH BLOCK
0x8A	0x25C7	# WHITE DIAMOND
0x8B	0x1CC8D	# INVERSE BLACK DIAMOND
0x8C	0x25CB	# WHITE CIRCLE
0x8D	0x25D8	# INVERSE BULLET
0x8E	0x25E4	# BLACK UPPER LEFT TRIANGLE
0x8F	0x25E3	# BLACK LOWER LEFT TRIANGLE
0x90	0x2571	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
0x91	0x2572	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
0x92	0x1FBD0	# BOX DRAWINGS LIGHT DIAGONAL MIDDLE RIGHT TO LOWER LEFT
0x93	0x1FBD1	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO MIDDLE LEFT
0x94	0x1FBDD	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO MIDDLE LEFT TO LOWER RIGHT
0x95	0x1FBD3	# BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO LOWER RIGHT
0x96	0x1FBD2	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE RIGHT
0x97	0x1FBDF	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE RIGHT TO LOWER LEFT
0x98	0x1FBD7	# BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO LOWER LEFT
0x99	0x1FBD6	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER CENTRE
0x9A	0x1FBDC	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER CENTRE TO UPPER RIGHT
0x9B	0x1FBD4	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER CENTRE
0x9C	0x1FBD5	# BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO LOWER RIGHT
0x9D	0x1FBDE	# BOX DRAWINGS LIGHT DIAGONAL LOWER LEFT TO UPPER CENTRE TO LOWER RIGHT
0x9E	0x2594	# UPPER ONE EIGHTH BLOCK
0x9F	0x258F	# LEFT ONE EIGHTH BLOCK
0xA0	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xA1	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xA2	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xA3	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xA4	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xA5	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xA6	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xA7	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xA8	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xA9	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xAA	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xAB	0x1CC39	# LOWER LEFT QUARTER CIRCLE
0xAC	0x1CC3A	# LOWER RIGHT QUARTER CIRCLE
0xAD	0x1CC36	# UPPER RIGHT QUARTER CIRCLE
0xAE	0x1CC35	# UPPER LEFT QUARTER CIRCLE
0xAF	0x2573	# BOX DRAWINGS LIGHT DIAGONAL CROSS
0xB0	0x2598	# QUADRANT UPPER LEFT
0xB1	0x259D	# QUADRANT UPPER RIGHT
0xB2	0x2597	# QUADRANT LOWER RIGHT
0xB3	0x2596	# QUADRANT LOWER LEFT
0xB4	0x258C	# LEFT HALF BLOCK
0xB5	0x2590	# RIGHT HALF BLOCK
0xB6	0x2580	# UPPER HALF BLOCK
0xB7	0x2584	# LOWER HALF BLOCK
0xB8	0x259A	# QUADRANT UPPER LEFT AND LOWER RIGHT
0xB9	0x259E	# QUADRANT UPPER RIGHT AND LOWER LEFT
0xBA	0x259F	# QUADRANT UPPER RIGHT AND LOWER LEFT AND LOWER RIGHT
0xBB	0x2599	# QUADRANT UPPER LEFT AND LOWER LEFT AND LOWER RIGHT
0xBC	0x259B	# QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT
0xBD	0x259C	# QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT
0xBE	0x25E2	# BLACK LOWER RIGHT TRIANGLE
0xBF	0x25E5	# BLACK UPPER RIGHT TRIANGLE
0xC0	0x2595	# RIGHT ONE EIGHTH BLOCK
0xC1	0x1FB7D	# LEFT AND UPPER ONE EIGHTH BLOCK
0xC2	0x1CC8E	# LEFT AND UPPER ONE EIGHTH BLOCK CONTAINING BLACK SMALL SQUARE
0xC3	0x1CC8F	# INVERSE BLACK SMALL SQUARE
0xC4	0x265F	# BLACK CHESS PAWN
0xC5	0x1CC45	# DENSE HORIZONTAL FILL
0xC6	0x1CC44	# DENSE VERTICAL FILL
0xC7	0x1FB90	# INVERSE MEDIUM SHADE
0xC8	0x1FB7F	# RIGHT AND LOWER ONE EIGHTH BLOCK
0xC9	0x2666	# BLACK DIAMOND SUIT
0xCA	0x2663	# BLACK CLUB SUIT
0xCB	0x2665	# BLACK HEART SUIT
0xCC	0x2660	# BLACK SPADE SUIT
0xCD	0x1CC9B	# HORIZONTAL RACING CAR
0xCE	0x1CC9C	# VERTICAL RACING CAR
0xCF	0x2022	# BULLET
0xD0	0x1CE90	# UPPER LEFT ONE SIXTEENTH BLOCK
0xD1	0x1CE91	# UPPER CENTRE LEFT ONE SIXTEENTH BLOCK
0xD2	0x1CE92	# UPPER CENTRE RIGHT ONE SIXTEENTH BLOCK
0xD3	0x1CE93	# UPPER RIGHT ONE SIXTEENTH BLOCK
0xD4	0x1CE94	# UPPER MIDDLE LEFT ONE SIXTEENTH BLOCK
0xD5	0x1CE95	# UPPER MIDDLE CENTRE LEFT ONE SIXTEENTH BLOCK
0xD6	0x1CE96	# UPPER MIDDLE CENTRE RIGHT ONE SIXTEENTH BLOCK
0xD7	0x1CE97	# UPPER MIDDLE RIGHT ONE SIXTEENTH BLOCK
0xD8	0x1CE98	# LOWER MIDDLE LEFT ONE SIXTEENTH BLOCK
0xD9	0x1CE99	# LOWER MIDDLE CENTRE LEFT ONE SIXTEENTH BLOCK
0xDA	0x1CE9A	# LOWER MIDDLE CENTRE RIGHT ONE SIXTEENTH BLOCK
0xDB	0x1CE9B	# LOWER MIDDLE RIGHT ONE SIXTEENTH BLOCK
0xDC	0x1CE9C	# LOWER LEFT ONE SIXTEENTH BLOCK
0xDD	0x1CE9D	# LOWER CENTRE LEFT ONE SIXTEENTH BLOCK
0xDE	0x1CE9E	# LOWER CENTRE RIGHT ONE SIXTEENTH BLOCK
0xDF	0x1CE9F	# LOWER RIGHT ONE SIXTEENTH BLOCK
0xE0	0x1CEA0	# RIGHT HALF LOWER ONE QUARTER BLOCK
0xE1	0x1CEA1	# RIGHT THREE QUARTERS LOWER ONE QUARTER BLOCK
0xE2	0x2582	# LOWER ONE QUARTER BLOCK
0xE3	0x1CEA2	# LEFT THREE QUARTERS LOWER ONE QUARTER BLOCK
0xE4	0x1CEA3	# LEFT HALF LOWER ONE QUARTER BLOCK
0xE5	0x1CE9C	# LOWER LEFT ONE SIXTEENTH BLOCK
0xE6	0x1CEA4	# LOWER HALF LEFT ONE QUARTER BLOCK
0xE7	0x1CEA5	# LOWER THREE QUARTERS LEFT ONE QUARTER BLOCK
0xE8	0x258E	# LEFT ONE QUARTER BLOCK
0xE9	0x1CEA6	# UPPER THREE QUARTERS LEFT ONE QUARTER BLOCK
0xEA	0x1CEA7	# UPPER HALF LEFT ONE QUARTER BLOCK
0xEB	0x1CE90	# UPPER LEFT ONE SIXTEENTH BLOCK
0xEC	0x1CEA8	# LEFT HALF UPPER ONE QUARTER BLOCK
0xED	0x1CEA9	# LEFT THREE QUARTERS UPPER ONE QUARTER BLOCK
0xEE	0x1FB82	# UPPER ONE QUARTER BLOCK
0xEF	0x1CEAA	# RIGHT THREE QUARTERS UPPER ONE QUARTER BLOCK
0xF0	0x1CEAB	# RIGHT HALF UPPER ONE QUARTER BLOCK
0xF1	0x1CE93	# UPPER RIGHT ONE SIXTEENTH BLOCK
0xF2	0x1CEAC	# UPPER HALF RIGHT ONE QUARTER BLOCK
0xF3	0x1CEAD	# UPPER THREE QUARTERS RIGHT ONE QUARTER BLOCK
0xF4	0x1FB87	# RIGHT ONE QUARTER BLOCK
0xF5	0x1CEAE	# LOWER THREE QUARTERS RIGHT ONE QUARTER BLOCK
0xF6	0x1CEAF	# LOWER HALF RIGHT ONE QUARTER BLOCK
0xF7	0x1CE9F	# LOWER RIGHT ONE SIXTEENTH BLOCK
0xF8	0x2581	# LOWER ONE EIGHTH BLOCK
0xF9	0x2582	# LOWER ONE QUARTER BLOCK
0xFA	0x2583	# LOWER THREE EIGHTHS BLOCK
0xFB	0x2584	# LOWER HALF BLOCK
0xFC	0x2585	# LOWER FIVE EIGHTHS BLOCK
0xFD	0x2586	# LOWER THREE QUARTERS BLOCK
0xFE	0x2587	# LOWER SEVEN EIGHTHS BLOCK
0xFF	0x2588	# FULL BLOCK
